,pickup_cluster,month,day,hour,dayofweek,count
0,0,1,1,1,3,0.3191489361702128
1,1,1,1,1,3,0.02127659574468085
2,2,1,1,1,3,0.29314420803782504
3,3,1,1,1,3,0.33569739952718675
4,4,1,1,1,3,0.037825059101654845
5,5,1,1,1,3,0.30969267139479906
6,6,1,1,1,3,0.2127659574468085
7,7,1,1,1,3,0.32860520094562645
8,8,1,1,1,3,0.1607565011820331
9,9,1,1,1,3,0.3900709219858156
10,10,1,1,1,3,0.19621749408983452
11,11,1,1,1,3,0.04964539007092199
12,12,1,1,1,3,0.29550827423167847
13,13,1,1,1,3,0.21513002364066194
14,14,1,1,1,3,0.08037825059101655
15,15,1,1,1,3,0.054373522458628844
16,16,1,1,1,3,0.2198581560283688
17,17,1,1,1,3,0.46808510638297873
18,18,1,1,1,3,0.34988179669030733
19,19,1,1,1,3,0.1536643026004728
20,20,1,1,1,3,0.408983451536643
21,21,1,1,1,3,0.45390070921985815
22,22,1,1,1,3,0.07801418439716312
23,23,1,1,1,3,0.2789598108747045
24,24,1,1,1,3,0.014184397163120567
25,25,1,1,1,3,0.18439716312056736
26,26,1,1,1,3,0.016548463356973995
27,27,1,1,1,3,0.35697399527186763
28,28,1,1,1,3,0.20567375886524822
29,29,1,1,1,3,0.0851063829787234
30,0,1,1,2,3,0.09456264775413711
31,1,1,1,2,3,0.004728132387706856
32,2,1,1,2,3,0.09456264775413711
33,3,1,1,2,3,0.09219858156028368
34,5,1,1,2,3,0.07565011820330969
35,6,1,1,2,3,0.08983451536643026
36,7,1,1,2,3,0.05200945626477541
37,8,1,1,2,3,0.09692671394799054
38,9,1,1,2,3,0.1111111111111111
39,10,1,1,2,3,0.06855791962174941
40,11,1,1,2,3,0.026004728132387706
41,12,1,1,2,3,0.09929078014184398
42,13,1,1,2,3,0.07092198581560284
43,14,1,1,2,3,0.04018912529550828
44,15,1,1,2,3,0.030732860520094562
45,16,1,1,2,3,0.09929078014184398
46,17,1,1,2,3,0.0851063829787234
47,18,1,1,2,3,0.08983451536643026
48,19,1,1,2,3,0.04018912529550828
49,20,1,1,2,3,0.12529550827423167
50,21,1,1,2,3,0.13002364066193853
51,22,1,1,2,3,0.026004728132387706
52,23,1,1,2,3,0.09692671394799054
53,24,1,1,2,3,0.0070921985815602835
54,25,1,1,2,3,0.054373522458628844
55,26,1,1,2,3,0.002364066193853428
56,27,1,1,2,3,0.11347517730496454
57,28,1,1,2,3,0.030732860520094562
58,29,1,1,2,3,0.030732860520094562
59,0,1,1,3,3,0.29314420803782504
60,1,1,1,3,3,0.02364066193853428
61,2,1,1,3,3,0.2553191489361702
62,3,1,1,3,3,0.23167848699763594
63,5,1,1,3,3,0.24822695035460993
64,6,1,1,3,3,0.2033096926713948
65,7,1,1,3,3,0.14420803782505912
66,8,1,1,3,3,0.3404255319148936
67,9,1,1,3,3,0.3546099290780142
68,10,1,1,3,3,0.2127659574468085
69,11,1,1,3,3,0.10874704491725769
70,12,1,1,3,3,0.24113475177304963
71,13,1,1,3,3,0.1016548463356974
72,14,1,1,3,3,0.19621749408983452
73,15,1,1,3,3,0.1347517730496454
74,16,1,1,3,3,0.1773049645390071
75,17,1,1,3,3,0.17494089834515367
76,18,1,1,3,3,0.25295508274231676
77,19,1,1,3,3,0.16548463356973994
78,20,1,1,3,3,0.2576832151300236
79,21,1,1,3,3,0.3640661938534279
80,22,1,1,3,3,0.1347517730496454
81,23,1,1,3,3,0.1938534278959811
82,24,1,1,3,3,0.028368794326241134
83,25,1,1,3,3,0.12293144208037825
84,26,1,1,3,3,0.018912529550827423
85,27,1,1,3,3,0.2978723404255319
86,28,1,1,3,3,0.09219858156028368
87,29,1,1,3,3,0.1607565011820331
88,0,1,1,4,3,0.2222222222222222
89,1,1,1,4,3,0.0425531914893617
90,2,1,1,4,3,0.12056737588652482
91,3,1,1,4,3,0.20803782505910165
92,4,1,1,4,3,0.002364066193853428
93,5,1,1,4,3,0.23404255319148937
94,6,1,1,4,3,0.11347517730496454
95,7,1,1,4,3,0.12529550827423167
96,8,1,1,4,3,0.30260047281323876
97,9,1,1,4,3,0.33569739952718675
98,10,1,1,4,3,0.12529550827423167
99,11,1,1,4,3,0.08037825059101655
100,12,1,1,4,3,0.09219858156028368
101,13,1,1,4,3,0.1276595744680851
102,14,1,1,4,3,0.1182033096926714
103,15,1,1,4,3,0.1016548463356974
104,16,1,1,4,3,0.08274231678486997
105,17,1,1,4,3,0.16548463356973994
106,18,1,1,4,3,0.17494089834515367
107,19,1,1,4,3,0.0591016548463357
108,20,1,1,4,3,0.29550827423167847
109,21,1,1,4,3,0.2624113475177305
110,22,1,1,4,3,0.08747044917257683
111,23,1,1,4,3,0.07801418439716312
112,24,1,1,4,3,0.016548463356973995
113,25,1,1,4,3,0.14420803782505912
114,26,1,1,4,3,0.01182033096926714
115,27,1,1,4,3,0.17494089834515367
116,28,1,1,4,3,0.04018912529550828
117,29,1,1,4,3,0.08983451536643026
118,0,1,1,5,3,0.10638297872340426
119,1,1,1,5,3,0.04018912529550828
120,2,1,1,5,3,0.07328605200945626
121,3,1,1,5,3,0.20094562647754138
122,5,1,1,5,3,0.19148936170212766
123,6,1,1,5,3,0.06855791962174941
124,7,1,1,5,3,0.0851063829787234
125,8,1,1,5,3,0.21749408983451538
126,9,1,1,5,3,0.40425531914893614
127,10,1,1,5,3,0.08037825059101655
128,11,1,1,5,3,0.07565011820330969
129,12,1,1,5,3,0.06619385342789598
130,13,1,1,5,3,0.08274231678486997
131,14,1,1,5,3,0.13238770685579196
132,15,1,1,5,3,0.05200945626477541
133,16,1,1,5,3,0.037825059101654845
134,17,1,1,5,3,0.18439716312056736
135,18,1,1,5,3,0.15602836879432624
136,19,1,1,5,3,0.06619385342789598
137,20,1,1,5,3,0.23404255319148937
138,21,1,1,5,3,0.17966903073286053
139,22,1,1,5,3,0.0425531914893617
140,23,1,1,5,3,0.05200945626477541
141,24,1,1,5,3,0.02127659574468085
142,25,1,1,5,3,0.19621749408983452
143,26,1,1,5,3,0.009456264775413711
144,27,1,1,5,3,0.0851063829787234
145,28,1,1,5,3,0.004728132387706856
146,29,1,1,5,3,0.06619385342789598
147,0,1,1,6,3,0.037825059101654845
148,1,1,1,6,3,0.009456264775413711
149,2,1,1,6,3,0.04964539007092199
150,3,1,1,6,3,0.05200945626477541
151,4,1,1,6,3,0.009456264775413711
152,5,1,1,6,3,0.07801418439716312
153,6,1,1,6,3,0.03309692671394799
154,7,1,1,6,3,0.04018912529550828
155,8,1,1,6,3,0.08983451536643026
156,9,1,1,6,3,0.13947990543735225
157,10,1,1,6,3,0.03546099290780142
158,11,1,1,6,3,0.028368794326241134
159,12,1,1,6,3,0.0425531914893617
160,13,1,1,6,3,0.0425531914893617
161,14,1,1,6,3,0.0591016548463357
162,15,1,1,6,3,0.02364066193853428
163,16,1,1,6,3,0.02127659574468085
164,17,1,1,6,3,0.07092198581560284
165,18,1,1,6,3,0.0851063829787234
166,19,1,1,6,3,0.03546099290780142
167,20,1,1,6,3,0.08037825059101655
168,21,1,1,6,3,0.06855791962174941
169,22,1,1,6,3,0.03546099290780142
170,23,1,1,6,3,0.026004728132387706
171,24,1,1,6,3,0.01182033096926714
172,25,1,1,6,3,0.07801418439716312
173,26,1,1,6,3,0.01182033096926714
174,27,1,1,6,3,0.026004728132387706
175,28,1,1,6,3,0.014184397163120567
176,29,1,1,6,3,0.016548463356973995
177,0,1,1,7,3,0.04728132387706856
178,1,1,1,7,3,0.014184397163120567
179,2,1,1,7,3,0.030732860520094562
180,3,1,1,7,3,0.04018912529550828
181,4,1,1,7,3,0.016548463356973995
182,5,1,1,7,3,0.0591016548463357
183,6,1,1,7,3,0.026004728132387706
184,7,1,1,7,3,0.02127659574468085
185,8,1,1,7,3,0.061465721040189124
186,9,1,1,7,3,0.07801418439716312
187,10,1,1,7,3,0.026004728132387706
188,11,1,1,7,3,0.026004728132387706
189,12,1,1,7,3,0.014184397163120567
190,13,1,1,7,3,0.018912529550827423
191,14,1,1,7,3,0.05673758865248227
192,15,1,1,7,3,0.016548463356973995
193,16,1,1,7,3,0.014184397163120567
194,17,1,1,7,3,0.06382978723404255
195,18,1,1,7,3,0.04491725768321513
196,19,1,1,7,3,0.02127659574468085
197,20,1,1,7,3,0.08037825059101655
198,21,1,1,7,3,0.04964539007092199
199,22,1,1,7,3,0.014184397163120567
200,23,1,1,7,3,0.02127659574468085
201,24,1,1,7,3,0.004728132387706856
202,25,1,1,7,3,0.04728132387706856
203,26,1,1,7,3,0.002364066193853428
204,27,1,1,7,3,0.014184397163120567
205,28,1,1,7,3,0.002364066193853428
206,29,1,1,7,3,0.009456264775413711
207,0,1,1,8,3,0.08274231678486997
208,1,1,1,8,3,0.03309692671394799
209,2,1,1,8,3,0.13238770685579196
210,3,1,1,8,3,0.04964539007092199
211,4,1,1,8,3,0.04018912529550828
212,5,1,1,8,3,0.1182033096926714
213,6,1,1,8,3,0.05673758865248227
214,7,1,1,8,3,0.07565011820330969
215,8,1,1,8,3,0.09929078014184398
216,9,1,1,8,3,0.16312056737588654
217,10,1,1,8,3,0.04964539007092199
218,11,1,1,8,3,0.05673758865248227
219,12,1,1,8,3,0.06382978723404255
220,13,1,1,8,3,0.07565011820330969
221,14,1,1,8,3,0.061465721040189124
222,15,1,1,8,3,0.018912529550827423
223,16,1,1,8,3,0.09219858156028368
224,17,1,1,8,3,0.08037825059101655
225,18,1,1,8,3,0.12529550827423167
226,19,1,1,8,3,0.05200945626477541
227,20,1,1,8,3,0.18203309692671396
228,21,1,1,8,3,0.09456264775413711
229,22,1,1,8,3,0.0425531914893617
230,23,1,1,8,3,0.04018912529550828
231,24,1,1,8,3,0.016548463356973995
232,25,1,1,8,3,0.1276595744680851
233,26,1,1,8,3,0.009456264775413711
234,27,1,1,8,3,0.06382978723404255
235,28,1,1,8,3,0.04728132387706856
236,29,1,1,8,3,0.018912529550827423
237,0,1,1,9,3,0.016548463356973995
238,1,1,1,9,3,0.009456264775413711
239,2,1,1,9,3,0.03546099290780142
240,3,1,1,9,3,0.026004728132387706
241,5,1,1,9,3,0.028368794326241134
242,6,1,1,9,3,0.01182033096926714
243,7,1,1,9,3,0.016548463356973995
244,8,1,1,9,3,0.014184397163120567
245,9,1,1,9,3,0.03309692671394799
246,10,1,1,9,3,0.016548463356973995
247,11,1,1,9,3,0.016548463356973995
248,12,1,1,9,3,0.02364066193853428
249,13,1,1,9,3,0.009456264775413711
250,14,1,1,9,3,0.01182033096926714
251,15,1,1,9,3,0.009456264775413711
252,16,1,1,9,3,0.014184397163120567
253,17,1,1,9,3,0.030732860520094562
254,18,1,1,9,3,0.04491725768321513
255,19,1,1,9,3,0.01182033096926714
256,20,1,1,9,3,0.016548463356973995
